,DriftU,Time,ForceU,Time,DriftV,Time,ForceV,Time,ForceZ,Time,AbsDriftUV,Energy,Degree,Time
ZS06_SumW, 5.63349E-004, 5.87531E+001, 1.08694E+005, 4.57345E+001, 1.33035E-003, 4.81684E+001, 0.00000E+000, 0.00000E+000, 3.97247E+004, 4.67803E+001, 1.38317E-003, 3.04288E+001, 105.98, 4.81705E+001
ZS05_SumW, 5.35324E-004, 5.87524E+001, 1.45172E+005, 4.57366E+001, 1.73488E-003, 4.81649E+001, 0.00000E+000, 0.00000E+000, 6.00668E+004, 4.67733E+001, 1.76930E-003, 4.04824E+001, 101.34, 4.81656E+001
ZS04_SumW, 5.98235E-004, 5.87524E+001, 2.07698E+005, 4.57408E+001, 2.09425E-003, 4.81593E+001, 0.00000E+000, 0.00000E+000, 8.24383E+004, 4.57261E+001, 2.13191E-003, 6.41255E+001, 100.83, 4.81607E+001
ZS08_SumElemWithoutDamper, 5.48944E-004, 5.87538E+001, 3.82211E+004, 4.82188E+001, 6.54793E-004, 4.81747E+001, 4.11630E+004, 4.81649E+001, 5.58252E+003, 4.68986E+001, 7.63141E-004, 2.59388E+001, 122.53, 4.81887E+001
ZS07_SumElemWithoutDamper, 5.61346E-004, 5.87531E+001, 8.03766E+004, 4.82188E+001, 9.48394E-004, 4.81712E+001, 8.70419E+004, 4.81663E+001, 1.21100E+004, 4.68979E+001, 1.02391E-003, 7.09796E+001, 112.43, 4.81754E+001
ZS06_SumElemWithoutDamper, 5.63349E-004, 5.87531E+001, 1.20176E+005, 4.57345E+001, 1.33035E-003, 4.81684E+001, 1.29036E+005, 4.81663E+001, 1.85453E+004, 4.68979E+001, 1.38317E-003, 1.37794E+002, 105.98, 4.81705E+001
ZS05_SumElemWithoutDamper, 5.35324E-004, 5.87524E+001, 1.58300E+005, 4.57366E+001, 1.73488E-003, 4.81649E+001, 1.66329E+005, 4.81635E+001, 2.48921E+004, 4.68979E+001, 1.76930E-003, 2.20131E+002, 101.34, 4.81656E+001
ZS04_SumElemWithoutDamper, 5.98235E-004, 5.87524E+001, 1.94713E+005, 4.57401E+001, 2.09425E-003, 4.81593E+001, 1.98991E+005, 4.81572E+001, 3.11202E+004, 4.68972E+001, 2.13191E-003, 3.14816E+002, 100.83, 4.81607E+001
ZS03_SumElemWithoutDamper, 3.32247E-003, 4.82111E+001, 2.27385E+005, 4.57429E+001, 2.57579E-003, 4.81684E+001, 2.26119E+005, 4.81481E+001, 3.66995E+004, 4.68972E+001, 4.09088E-003, 1.10260E+003, 142.98, 4.81943E+001
ZS02_SumElemWithoutDamper, 1.35419E-002, 4.57492E+001, 2.52398E+005, 4.57450E+001, 6.36728E-003, 4.85618E+001, 2.49535E+005, 4.81474E+001, 4.21041E+004, 4.68972E+001, 1.46678E-002, 4.86317E+003, 156.23, 4.82055E+001
ZS01_SumElemWithoutDamper, 3.06144E-005, 4.57443E+001, 2.52021E+005, 4.57450E+001, 1.77447E-005, 4.81453E+001, 2.55130E+005, 4.81446E+001, 4.41669E+004, 4.68965E+001, 3.31577E-005, 5.57183E+000, 151.74, 4.81866E+001
ZS08_SumElem_Column:RC, 5.48944E-004, 5.87538E+001, 1.34668E+004, 4.82181E+001, 6.54793E-004, 4.81747E+001, 4.11630E+004, 4.81649E+001, 1.52486E+004, 5.32686E+001, 7.63141E-004, 1.84306E+001, 122.53, 4.81887E+001
ZS07_SumElem_Column:RC, 5.61346E-004, 5.87531E+001, 1.34100E+004, 4.82167E+001, 9.48394E-004, 4.81712E+001, 8.70419E+004, 4.81663E+001, 2.34827E+004, 4.67012E+001, 1.02391E-003, 5.19011E+001, 112.43, 4.81754E+001
ZS06_SumElem_Column:RC, 5.63349E-004, 5.87531E+001, 1.43438E+004, 5.87440E+001, 1.33035E-003, 4.81684E+001, 1.29036E+005, 4.81663E+001, 3.86094E+004, 4.66984E+001, 1.38317E-003, 1.07365E+002, 105.98, 4.81705E+001
ZS05_SumElem_Column:RC, 5.35324E-004, 5.87524E+001, 1.93852E+004, 5.87468E+001, 1.73488E-003, 4.81649E+001, 1.66329E+005, 4.81635E+001, 6.21735E+004, 4.75650E+001, 1.76930E-003, 1.79648E+002, 101.34, 4.81656E+001
ZS04_SumElem_Column:RC, 5.98235E-004, 5.87524E+001, 1.32689E+004, 4.57618E+001, 2.09425E-003, 4.81593E+001, 1.98991E+005, 4.81572E+001, 8.67506E+004, 4.57471E+001, 2.13191E-003, 2.50691E+002, 100.83, 4.81607E+001
ZS03_SumElem_Column:RC, 3.32247E-003, 4.82111E+001, 2.27385E+005, 4.57429E+001, 2.57579E-003, 4.81684E+001, 2.26119E+005, 4.81481E+001, 3.66995E+004, 4.68972E+001, 4.09088E-003, 1.10260E+003, 142.98, 4.81943E+001
ZS02_SumElem_Column:RC, 1.35419E-002, 4.57492E+001, 2.52398E+005, 4.57450E+001, 6.36728E-003, 4.85618E+001, 2.49535E+005, 4.81474E+001, 4.21041E+004, 4.68972E+001, 1.46678E-002, 4.86317E+003, 156.23, 4.82055E+001
ZS01_SumElem_Column:RC, 3.06144E-005, 4.57443E+001, 2.52021E+005, 4.57450E+001, 1.77447E-005, 4.81453E+001, 2.55130E+005, 4.81446E+001, 4.41669E+004, 4.68965E+001, 3.31577E-005, 5.57183E+000, 151.74, 4.81866E+001
ZS08_SumElem_Wall:BearingWall, 5.48944E-004, 5.87538E+001, 2.75992E+004, 4.57317E+001, 6.54793E-004, 4.81747E+001, 0.00000E+000, 0.00000E+000, 1.48489E+004, 5.54036E+001, 7.63141E-004, 7.50815E+000, 122.53, 4.81887E+001
ZS07_SumElem_Wall:BearingWall, 5.61346E-004, 5.87531E+001, 6.97826E+004, 4.57331E+001, 9.48394E-004, 4.81712E+001, 0.00000E+000, 0.00000E+000, 2.40968E+004, 4.67775E+001, 1.02391E-003, 1.90785E+001, 112.43, 4.81754E+001
ZS06_SumElem_Wall:BearingWall, 5.63349E-004, 5.87531E+001, 1.08694E+005, 4.57345E+001, 1.33035E-003, 4.81684E+001, 0.00000E+000, 0.00000E+000, 3.97247E+004, 4.67803E+001, 1.38317E-003, 3.04288E+001, 105.98, 4.81705E+001
ZS05_SumElem_Wall:BearingWall, 5.35324E-004, 5.87524E+001, 1.45172E+005, 4.57366E+001, 1.73488E-003, 4.81649E+001, 0.00000E+000, 0.00000E+000, 6.00668E+004, 4.67733E+001, 1.76930E-003, 4.04824E+001, 101.34, 4.81656E+001
ZS04_SumElem_Wall:BearingWall, 5.98235E-004, 5.87524E+001, 2.07698E+005, 4.57408E+001, 2.09425E-003, 4.81593E+001, 0.00000E+000, 0.00000E+000, 8.24383E+004, 4.57261E+001, 2.13191E-003, 6.41255E+001, 100.83, 4.81607E+001
ZS08_SumForLm_0, 5.48944E-004, 5.87538E+001, 3.82211E+004, 4.82188E+001, 6.54793E-004, 4.81747E+001, 4.11630E+004, 4.81649E+001, 5.58252E+003, 4.68986E+001, 7.63141E-004, 2.59388E+001, 122.53, 4.81887E+001
ZS07_SumForLm_0, 5.61346E-004, 5.87531E+001, 8.03766E+004, 4.82188E+001, 9.48394E-004, 4.81712E+001, 8.70419E+004, 4.81663E+001, 1.21100E+004, 4.68979E+001, 1.02391E-003, 7.09796E+001, 112.43, 4.81754E+001
ZS06_SumForLm_0, 5.63349E-004, 5.87531E+001, 1.20176E+005, 4.57345E+001, 1.33035E-003, 4.81684E+001, 1.29036E+005, 4.81663E+001, 1.85453E+004, 4.68979E+001, 1.38317E-003, 1.37794E+002, 105.98, 4.81705E+001
ZS05_SumForLm_0, 5.35324E-004, 5.87524E+001, 1.58300E+005, 4.57366E+001, 1.73488E-003, 4.81649E+001, 1.66329E+005, 4.81635E+001, 2.48921E+004, 4.68979E+001, 1.76930E-003, 2.20131E+002, 101.34, 4.81656E+001
ZS04_SumForLm_0, 5.98235E-004, 5.87524E+001, 1.94713E+005, 4.57401E+001, 2.09425E-003, 4.81593E+001, 1.98991E+005, 4.81572E+001, 3.11202E+004, 4.68972E+001, 2.13191E-003, 3.14816E+002, 100.83, 4.81607E+001
ZS03_SumForLm_0, 3.32247E-003, 4.82111E+001, 2.27385E+005, 4.57429E+001, 2.57579E-003, 4.81684E+001, 2.26119E+005, 4.81481E+001, 3.66995E+004, 4.68972E+001, 4.09088E-003, 1.10260E+003, 142.98, 4.81943E+001
ZS02_SumForLm_0, 1.35419E-002, 4.57492E+001, 2.52398E+005, 4.57450E+001, 6.36728E-003, 4.85618E+001, 2.49535E+005, 4.81474E+001, 4.21041E+004, 4.68972E+001, 1.46678E-002, 4.86317E+003, 156.23, 4.82055E+001
ZS01_SumForLm_0, 3.06144E-005, 4.57443E+001, 2.52021E+005, 4.57450E+001, 1.77447E-005, 4.81453E+001, 2.55130E+005, 4.81446E+001, 4.41669E+004, 4.68965E+001, 3.31577E-005, 5.57183E+000, 151.74, 4.81866E+001
ZS08_StiffCenter, 5.48956E-004, 5.87538E+001, 0.00000E+000, 0.00000E+000, 6.54182E-004, 4.81754E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 7.63500E-004, 0.00000E+000, 122.83, 4.81901E+001
ZS07_StiffCenter, 5.61346E-004, 5.87531E+001, 0.00000E+000, 0.00000E+000, 9.49922E-004, 4.81698E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.02448E-003, 0.00000E+000, 112.24, 4.81740E+001
ZS06_StiffCenter, 5.63350E-004, 5.87531E+001, 0.00000E+000, 0.00000E+000, 1.33195E-003, 4.81677E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.38428E-003, 0.00000E+000, 105.86, 4.81691E+001
ZS05_StiffCenter, 5.35355E-004, 5.87524E+001, 0.00000E+000, 0.00000E+000, 1.73684E-003, 4.81635E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.77098E-003, 0.00000E+000, 101.30, 4.81649E+001
ZS04_StiffCenter, 5.98196E-004, 5.87524E+001, 0.00000E+000, 0.00000E+000, 2.09701E-003, 4.81579E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 2.13431E-003, 0.00000E+000, 100.75, 4.81593E+001
ZS03_StiffCenter, 3.32262E-003, 4.82111E+001, 0.00000E+000, 0.00000E+000, 2.53094E-003, 4.81628E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 4.03538E-003, 0.00000E+000, 143.80, 4.81929E+001
ZS02_StiffCenter, 1.35419E-002, 4.57492E+001, 0.00000E+000, 0.00000E+000, 4.84810E-003, 4.81509E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.40070E-002, 0.00000E+000, 163.21, 4.82034E+001
ZS01_StiffCenter, 3.06145E-005, 4.57443E+001, 0.00000E+000, 0.00000E+000, 1.63790E-005, 4.85485E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 3.29176E-005, 0.00000E+000, 153.74, 4.81964E+001
